Sample,Name,Acc,16S,18S,18SName,Proper_name,Type,Source,TimeSeries,xKit,Rep,RepType,Polymerase16S,Polymerase18S,DNA.16S,DNA.18S,Run16S,Run18S,Primer16S,Station,Environment,Estuary,Tide,Date,Season,Year
D2-Jun18,D2 timepoint 40,ERS12471464,1,1,D2-Jun18,D2-Jun18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2018-06-15,Su,2018
D2-Jul18,D2 timepoint 41,ERS12471465,0,1,D2-Jul18,D2-Jul18,W,Filter02uM,W,PowerWater,1,None,NA,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2018-07-15,Su,2018
D2-Aug18,D2 timepoint 42,ERS12471466,1,1,D2-Aug18,D2-Aug18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2018-08-23,Su,2018
D2-Sep18,D2 timepoint 43,ERS12471467,1,1,D2-Sep18,D2-Sep18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2018-09-15,Su,2018
D2-Oct18,D2 timepoint 44,ERS12471468,1,1,D2-Oct18,D2-Oct18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2018-10-15,Au,2018
D2-Nov18,D2 timepoint 45,ERS12471469,1,1,D2-Nov18,D2-Nov18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2018-11-16,Au,2018
D2-Dec18,D2 timepoint 46,ERS12471470,1,1,D2-Dec18,D2-Dec18,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2018-12-15,Wi,2018
D2-Jan19,D2 timepoint 47,ERS12471471,1,1,D2-Jan19,D2-Jan19,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2019-01-15,Wi,2019
D2-Feb19,D2 timepoint 48,ERS12471472,1,1,D2-Feb19,D2-Feb19,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2019-02-15,Wi,2019
D2-Apr19,D2 timepoint 50,ERS12471473,1,1,D2-Apr19,D2-Apr19,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2019-04-15,Sp,2019
